iter	RMSE
0	1.155640201
1	1.152257345
2	1.148892331
3	1.145511556
4	1.14211461
5	1.138863572
6	1.13574736
7	1.132483319
8	1.129249306
9	1.125992354
10	1.122828468
11	1.119639005
12	1.116419623
13	1.113279385
14	1.110157422
15	1.107037862
16	1.104027941
17	1.100888727
18	1.097872873
19	1.094925973
20	1.091857692
21	1.088864779
22	1.085976183
23	1.083110671
24	1.080136992
25	1.077249438
26	1.074443621
27	1.071651317
28	1.06876202
29	1.065878853
30	1.063197564
31	1.060399939
32	1.057639806
33	1.054965369
34	1.052227368
35	1.049477606
36	1.046728913
37	1.044112783
38	1.041502494
39	1.038818576
40	1.036198002
41	1.033621629
42	1.030974169
43	1.028400645
44	1.025879052
45	1.023489102
46	1.020966285
47	1.018440745
48	1.01597047
49	1.013540223
50	1.01106172
51	1.008598502
52	1.006198245
53	1.003820508
54	1.001405453
55	0.9989908624
56	0.9965885124
57	0.9941827413
58	0.9918187807
59	0.9895281835
60	0.987325172
61	0.9850171528
62	0.9828096703
63	0.9806352301
64	0.9783943362
65	0.9762513189
66	0.9740385687
67	0.9719038372
68	0.9697605326
69	0.9675540771
70	0.9654319578
71	0.963273712
72	0.9611994543
73	0.959096287
74	0.9569827309
75	0.9548604408
76	0.9528236105
77	0.9507568675
78	0.9487197327
79	0.9466667553
80	0.9447167215
81	0.9427072304
82	0.9407298736
83	0.9388153879
84	0.9369278106
85	0.9349571102
86	0.9330193211
87	0.9311339383
88	0.9292478013
89	0.9274032915
90	0.9255656022
91	0.9236986089
92	0.9218863243
93	0.9200344422
94	0.918261124
95	0.9165048453
96	0.9147575667
97	0.9129532337
98	0.9111950723
99	0.9094515209
100	0.9076625486
101	0.905959108
102	0.9042604857
103	0.9026017389
104	0.9009610414
105	0.89925439
106	0.8976335365
107	0.896016926
108	0.8943882425
109	0.8927772124
110	0.8911498818
111	0.8894594136
112	0.8878958779
113	0.8863377166
114	0.8847850779
115	0.8831934008
116	0.8816845141
117	0.8800113857
118	0.8784481101
119	0.8768967742
120	0.8753893975
121	0.8739215402
122	0.8724180474
123	0.8709366028
124	0.8694862063
125	0.867826139
126	0.8663067091
127	0.8649194071
128	0.8634537341
129	0.8620931002
130	0.860714656
131	0.8593561857
132	0.8579673927
133	0.8564060874
134	0.8550034987
135	0.8536449086
136	0.8523205741
137	0.8509606751
138	0.8495876415
139	0.8482962158
140	0.8469830602
141	0.8456900376
142	0.8444036254
143	0.843142529
144	0.8418684675
145	0.8405927515
146	0.8392611808
147	0.8378689842
148	0.836559717
149	0.8352323034
150	0.833736409
151	0.832576586
152	0.8313763669
153	0.8301854575
154	0.8289406846
155	0.8277823104
156	0.8265936625
157	0.8253745431
158	0.8241007242
159	0.8229144154
160	0.8217968236
161	0.8206227107
162	0.8194580409
163	0.8182726319
164	0.8171607943
165	0.8160845322
166	0.8149276141
167	0.8137889737
168	0.8127016631
169	0.811673829
170	0.8105783113
171	0.8095348752
172	0.8084839973
173	0.8074055595
174	0.8063749556
175	0.805391382
176	0.8043708526
177	0.8033380779
178	0.802339966
179	0.8013011299
180	0.8001817471
181	0.7992241262
182	0.7982105352
183	0.797247077
184	0.7962777259
185	0.7952527814
186	0.7943070401
187	0.7933789463
188	0.7922298938
189	0.791319963
190	0.7901938585
191	0.7892181791
192	0.7883031203
193	0.7874019435
194	0.7863144625
195	0.7853849589
196	0.7845024031
197	0.7833806406
198	0.7824969782
199	0.7816220093
200	0.7807522166
201	0.7797018702
202	0.7788292102
203	0.7779031706
204	0.7770585072
205	0.7762170975
206	0.7753773357
207	0.7745111807
208	0.7734423083
209	0.7724569323
210	0.7716385222
211	0.7709014899
212	0.7701247146
213	0.769368793
214	0.7683399138
215	0.7675459174
216	0.7667914738
217	0.766011977
218	0.765149904
219	0.7643659282
220	0.7634454853
221	0.7627131006
222	0.7619299515
223	0.7611331309
224	0.7602977358
225	0.7596005611
226	0.7587319528
227	0.757795023
228	0.7569758497
229	0.756200164
230	0.7552856848
231	0.7545654672
232	0.7536909506
233	0.7529341486
234	0.7522551709
235	0.7515881877
236	0.7508618679
237	0.7501688011
238	0.7495362189
239	0.7487676435
240	0.7479546234
241	0.747301386
242	0.7465610583
243	0.7457918446
244	0.7451721219
245	0.7445300927
246	0.7438805666
247	0.7432043338
248	0.7425487012
249	0.7417738081
250	0.741158002
251	0.7405387195
252	0.7399246754
253	0.7392557035
254	0.7386310787
255	0.7379506516
256	0.7373896774
257	0.7365978153
258	0.735783828
259	0.7352267131
260	0.734612176
261	0.7340415266
262	0.7334296156
263	0.7326907412
264	0.7319333032
265	0.7313688551
266	0.7308423759
267	0.7302212182
268	0.7296325266
269	0.7289678643
270	0.7284203464
271	0.7278352104
272	0.7273175723
273	0.7266144123
274	0.7261106917
275	0.7255514521
276	0.7250273491
277	0.7243550795
278	0.7236548378
279	0.7231779906
280	0.7226690129
281	0.7220236478
282	0.7215427461
283	0.7210524887
284	0.7204157962
285	0.7197648278
286	0.7192735156
287	0.7187498063
288	0.7182634949
289	0.7176884707
290	0.7172368759
291	0.7165965282
292	0.7161269251
293	0.7155995815
294	0.7149889048
295	0.7145475419
296	0.7140567235
297	0.7136193803
298	0.7131577557
299	0.7126926224
300	0.7120826108
301	0.7115932595
302	0.7111438662
303	0.71067326
304	0.7101599988
305	0.7095107116
306	0.7088417062
307	0.7084472705
308	0.707817074
309	0.7072275161
310	0.7067041453
311	0.7061312689
312	0.7057297566
313	0.7053067463
314	0.7049276412
315	0.70450437
316	0.7040218597
317	0.7034926892
318	0.7030987244
319	0.7027115277
320	0.7021366271
321	0.7017479757
322	0.7013794598
323	0.7010077715
324	0.7006380056
325	0.7001581073
326	0.6997233084
327	0.699347761
328	0.698855496
329	0.6984327384
330	0.6979916826
331	0.6976399132
332	0.6972243602
333	0.6967394388
334	0.6963541613
335	0.6959434577
336	0.6955074289
337	0.6951264789
338	0.6947369833
339	0.6941676725
340	0.6937470683
341	0.6932631762
342	0.692933892
343	0.6925879115
344	0.692249137
345	0.6918095897
346	0.6914632216
347	0.6910778363
348	0.6906309969
349	0.6903141945
350	0.6898676865
351	0.6893738185
352	0.6889366087
353	0.6885108981
354	0.6880602427
355	0.6876587466
356	0.6872763285
357	0.6869870946
358	0.6866299308
359	0.6863154086
360	0.685954995
361	0.6856365373
362	0.6852802681
363	0.6849611208
364	0.6845170492
365	0.6841750265
366	0.6837959354
367	0.6833778161
368	0.6830909309
369	0.6827369664
370	0.6823670498
371	0.6820793224
372	0.6817935523
373	0.681494788
374	0.6811299765
375	0.6807477841
376	0.6803274179
377	0.6800721388
378	0.6797275822
379	0.6793348682
380	0.6790772433
381	0.6786718064
382	0.6784105903
383	0.6781575171
384	0.6778946139
385	0.6776323537
386	0.6773281384
387	0.6770790445
388	0.6766516767
389	0.676297615
390	0.6759132149
391	0.6756341043
392	0.6753884113
393	0.6751515278
394	0.6747951726
395	0.6745393818
396	0.6742727137
397	0.6740472513
398	0.6737949668
399	0.6734691902
400	0.6731409135
401	0.672913714
402	0.6726924273
403	0.6723679758
404	0.6721392032
405	0.671817546
406	0.6714606806
407	0.6712056129
408	0.6708366584
409	0.670526573
410	0.6703079248
411	0.6700473347
412	0.6698270544
413	0.6696019955
414	0.6692238677
415	0.6689730723
416	0.6687590092
417	0.6685280389
418	0.6682819944
419	0.6680175051
420	0.6678098585
421	0.6675703994
422	0.6673429238
423	0.6670533879
424	0.6666557971
425	0.666430364
426	0.6662005702
427	0.6660008747
428	0.665735213
429	0.6653565169
430	0.6650490335
431	0.6648502895
432	0.6645010976
433	0.6642672171
434	0.6640073347
435	0.6637021257
436	0.6633374464
437	0.6631565094
438	0.6629553587
439	0.6626833555
440	0.6624967269
441	0.6622814536
442	0.6620732139
443	0.6618905778
444	0.6617101316
445	0.6614198005
446	0.6612253195
447	0.6609306395
448	0.660612772
449	0.6604156991
450	0.6601962201
451	0.6599737875
452	0.6597799934
453	0.6595537171
454	0.6593737768
455	0.6591115544
456	0.6588356558
457	0.6586224784
458	0.6584084948
459	0.6582401212
460	0.6580649723
461	0.6578362556
462	0.6575798988
463	0.6573101842
464	0.6571257276
465	0.6569309859
466	0.6567432339
467	0.6565165807
468	0.6563448313
469	0.6561625281
470	0.6559386219
471	0.655753964
472	0.6555021042
473	0.655317471
474	0.6551595608
475	0.6548998681
476	0.6547114191
477	0.6545418902
478	0.6543766867
479	0.6542349579
480	0.654102067
481	0.6539095749
482	0.6537805665
483	0.6536100926
484	0.6534024633
485	0.6531850384
486	0.6528943227
487	0.6526455619
488	0.6524806938
489	0.6522538227
490	0.6520384487
491	0.6518311435
492	0.6516817171
493	0.651484991
494	0.6513333826
495	0.6511588328
496	0.6510102779
497	0.6508229408
498	0.6506396558
499	0.6503573834
500	0.6502184786
501	0.6500734631
502	0.6499440703
503	0.649678221
504	0.6494796378
505	0.649356984
506	0.6491729689
507	0.6489711407
508	0.6488532198
509	0.6487333019
510	0.6486030732
511	0.6484458093
512	0.6483117626
513	0.6481154997
514	0.6478899888
515	0.6477717941
516	0.647602059
517	0.6474105696
518	0.6472786339
519	0.6471406824
520	0.6469926293
521	0.6468306111
522	0.6466898327
523	0.6465687446
524	0.6464412543
525	0.646317237
526	0.6461530329
527	0.6459266701
528	0.6457689756
529	0.6454931685
530	0.6452643955
531	0.6451433796
532	0.6449516535
533	0.644753688
534	0.6446052813
535	0.6444569239
536	0.6442862466
537	0.6441815452
538	0.6440604819
539	0.6439466663
540	0.6437457408
541	0.6434975846
542	0.6432636757
543	0.6431324963
544	0.643026161
545	0.6428903533
546	0.6427516286
547	0.6425016138
548	0.6423151219
549	0.6422014139
550	0.6419554408
551	0.641767786
552	0.6416458614
553	0.6414933029
554	0.6413422678
555	0.6411865826
556	0.6410886791
557	0.6408835741
558	0.6406540511
559	0.6404591297
560	0.640304663
561	0.6402161036
562	0.6400812576
563	0.6399623053
564	0.6397751009
565	0.6395906575
566	0.6394784187
567	0.6393314674
568	0.6391457262
569	0.6389144283
570	0.6387317011
571	0.6385668648
572	0.6384667505
573	0.6382763195
574	0.6380955356
575	0.6379574404
576	0.6378182188
577	0.6376338207
578	0.6374436596
579	0.6372782914
580	0.6371915132
581	0.6370786425
582	0.6369675939
583	0.636888408
584	0.6368027662
585	0.6367116461
586	0.6365694728
587	0.6364826607
588	0.63635987
589	0.6361246748
590	0.6360340137
591	0.6359227868
592	0.6358045699
593	0.6357281291
594	0.6355245592
595	0.635359758
596	0.6351465884
597	0.6350592936
598	0.6348520082
599	0.6347138925
600	0.6345178089
601	0.6343129797
602	0.6342006686
603	0.634064361
604	0.633863506
605	0.633703883
606	0.6335338743
607	0.6334542285
608	0.6333292032
609	0.6331987186
610	0.6330374619
611	0.6329290726
612	0.632848968
613	0.6327744525
614	0.6326731844
615	0.632511756
616	0.6324226137
617	0.6323084162
618	0.632203221
619	0.6320393303
620	0.6319101363
621	0.631787395
622	0.6316515053
623	0.631486407
624	0.6313888665
625	0.6312699957
626	0.6311282524
627	0.631054748
628	0.6309530424
629	0.6307529311
630	0.6305809553
631	0.630458364
632	0.6303159596
633	0.6302093345
634	0.6300637934
635	0.6299539778
636	0.6298663141
637	0.6297205431
638	0.629597958
639	0.6294811492
640	0.6293594371
641	0.6292784809
642	0.6291315481
643	0.6290470324
644	0.628914097
645	0.6287959515
646	0.6287297792
647	0.6286232686
648	0.6285364489
649	0.6283824289
650	0.6282979469
651	0.6281812928
652	0.6281141112
653	0.6280422173
654	0.6279779468
655	0.6279112104
656	0.6277227365
657	0.6276539352
658	0.6275226633
659	0.6273868
660	0.6272987604
661	0.6272258416
662	0.6270775693
663	0.6270130334
664	0.6269042117
665	0.6267919732
666	0.6267276537
667	0.626629851
668	0.6265386143
669	0.6264608357
670	0.6263560839
671	0.626279289
672	0.626192931
673	0.6260741531
674	0.6259429699
675	0.6257743382
676	0.62569477
677	0.625622328
678	0.6255332369
679	0.6253633605
680	0.6252837003
681	0.6251786763
682	0.6251208506
683	0.6250191206
684	0.6248696757
685	0.6248060953
686	0.6247233106
687	0.6246051743
688	0.6245182615
689	0.6243632801
690	0.6243035851
691	0.6241401549
692	0.6240415365
693	0.623975097
694	0.6238731826
695	0.6237721784
696	0.6237072106
697	0.6236462419
698	0.6235851961
699	0.6235195991
700	0.6233999226
701	0.6233262436
702	0.6231689981
703	0.6231202317
704	0.6229883361
705	0.6228559979
706	0.6227778376
707	0.6227277199
708	0.6225866706
709	0.6225200091
710	0.6223641294
711	0.6222082306
712	0.6220916191
713	0.6220144061
714	0.6219592785
715	0.6218229834
716	0.6217512712
717	0.6216726542
718	0.6215780695
719	0.621461693
720	0.6214085476
721	0.621313713
722	0.6212440573
723	0.6211697248
724	0.6211095952
725	0.6210484254
726	0.6209893377
727	0.6208691684
728	0.6207985613
729	0.6207152582
730	0.6206023766
731	0.6205335616
732	0.6203980666
733	0.6203524363
734	0.620280908
735	0.6202113073
736	0.6201317553
737	0.6200859376
738	0.62003449
739	0.6199836727
740	0.619870062
741	0.6197190166
742	0.619652576
743	0.61952797
744	0.6194749976
745	0.6194099651
746	0.6192545121
747	0.6192006107
748	0.6191421198
749	0.6190844714
750	0.619008173
751	0.6189110172
752	0.6188126029
753	0.6187317439
754	0.6186924965
755	0.6186097621
756	0.6184812557
757	0.6183749059
758	0.6183226597
759	0.6182117941
760	0.6181660506
761	0.6180544262
762	0.6178994218
763	0.617783741
764	0.6177197058
765	0.6176394807
766	0.6175514174
767	0.6175181771
768	0.6174238763
769	0.6173575192
770	0.6172676017
771	0.6172159622
772	0.6171757375
773	0.6170388658
774	0.6169792118
775	0.6169391393
776	0.6168196113
777	0.6167200145
778	0.6166654136
779	0.6165674753
780	0.6165258256
781	0.6164666911
782	0.6163710552
783	0.6163274958
784	0.6162552406
785	0.6162044415
786	0.6161631606
787	0.6160998017
788	0.616038141
789	0.615983132
790	0.6158953595
791	0.6158474856
792	0.6157912111
793	0.6157293547
794	0.6156719028
795	0.615573799
796	0.6154638505
797	0.6153513399
798	0.6153080252
799	0.6152690514
800	0.6151879152
801	0.6150744555
802	0.6150203855
803	0.614984137
804	0.614946024
805	0.6148840759
806	0.6147995748
807	0.6146891484
808	0.6146541838
809	0.6145585775
810	0.6145138709
811	0.6144310459
812	0.6143211486
813	0.6142521309
814	0.6141694375
815	0.6141404601
816	0.6140360857
817	0.6139915489
818	0.6139428639
819	0.6138792382
820	0.6138255186
821	0.6137090511
822	0.6136721165
823	0.6136368869
824	0.6135864728
825	0.613539935
826	0.6134687453
827	0.6134390314
828	0.6133169034
829	0.61325202
830	0.6132230584
831	0.6131577591
832	0.6130555662
833	0.6130261282
834	0.6129119024
835	0.612822293
836	0.6127722937
837	0.6126758982
838	0.6126269794
839	0.6125806381
840	0.6125489745
841	0.6124948245
842	0.6124585759
843	0.612427152
844	0.6123842698
845	0.612332962
846	0.6122977939
847	0.6122473143
848	0.612150585
849	0.6120895793
850	0.6120023687
851	0.6119409367
852	0.6119139845
853	0.6118341101
854	0.6117239758
855	0.6116933773
856	0.6116252186
857	0.6115685045
858	0.6115035718
859	0.6114312083
860	0.6113718369
861	0.6112808313
862	0.6112375504
863	0.6112035699
864	0.6111068981
865	0.6110144004
866	0.6109577001
867	0.6108806896
868	0.6107910278
869	0.6107567502
870	0.6106546623
871	0.6105617934
872	0.6104780385
873	0.6104312831
874	0.6104002776
875	0.6103629258
876	0.6103271568
877	0.6102324633
878	0.6101817667
879	0.6101514439
880	0.610120482
881	0.6100678182
882	0.6100161937
883	0.6099205586
884	0.6098199276
885	0.609708794
886	0.6096607673
887	0.6096050746
888	0.6095101156
889	0.6094418778
890	0.6093811613
891	0.6092862221
892	0.6092151538
893	0.6091702118
894	0.6091009446
895	0.6090439994
896	0.6089801641
897	0.6089340981
898	0.6088901363
899	0.6088481834
900	0.6088160452
901	0.608751677
902	0.6086928553
903	0.6086464349
904	0.6085968241
905	0.6084950413
906	0.6084005079
907	0.6083107167
908	0.6082351093
909	0.608174848
910	0.6081272289
911	0.608090299
912	0.6080571325
913	0.607960472
914	0.6079305275
915	0.6078563005
916	0.6077814016
917	0.6076786184
918	0.607593637
919	0.6075695861
920	0.6075133476
921	0.6074874415
922	0.6074435059
923	0.6073411181
924	0.6073015711
925	0.6072726949
926	0.6072318242
927	0.6071955129
928	0.6071599993
929	0.6071096371
930	0.607081406
931	0.6070064433
932	0.6069739414
933	0.606920978
934	0.6068681851
935	0.6067971935
936	0.6067733587
937	0.6067496366
938	0.6066811678
939	0.60661611
940	0.6065719103
941	0.6065347083
942	0.6064915556
943	0.6064553325
944	0.6063849729
945	0.606324547
946	0.6062961897
947	0.6062156252
948	0.6061361779
949	0.6061025732
950	0.6060748594
951	0.6060576812
952	0.6060102879
953	0.6059713488
954	0.6058959685
955	0.6058716728
956	0.6058175744
957	0.605769192
958	0.6057390205
959	0.6057157987
960	0.6056839787
961	0.605632162
962	0.6055714647
963	0.6055505831
964	0.605435693
965	0.6054009433
966	0.6053379562
967	0.6052973974
968	0.6052638505
969	0.6052413563
970	0.6051653296
971	0.6051292967
972	0.6050674695
973	0.6050468601
974	0.6049662888
975	0.6049155336
976	0.6048401153
977	0.6047491793
978	0.6047050767
979	0.6046702692
980	0.6046161956
981	0.6045562048
982	0.6045348593
983	0.6044955023
984	0.6044728193
985	0.6044143102
986	0.6043798304
987	0.6043019323
988	0.6042402447
989	0.6041862341
990	0.6041540841
991	0.6041306236
992	0.6040942491
993	0.6040689425
994	0.6040378713
995	0.6039663377
996	0.6038927839
997	0.6038256106
998	0.6038064837
999	0.603758262
1000	0.603725663
1001	0.6036384372
1002	0.603590149
1003	0.6035356631
1004	0.6034956861
1005	0.6034728871
1006	0.6034302661
1007	0.603411767
1008	0.603374157
1009	0.6033088257
1010	0.6032697223
1011	0.6032285635
1012	0.6031326882
1013	0.6030872967
1014	0.6030521199
1015	0.6030090185
1016	0.6029704409
1017	0.6029443137
1018	0.6028749431
1019	0.6028343876
1020	0.6027691462
1021	0.6027401962
1022	0.6027046794
1023	0.6026594655
1024	0.6026135555
1025	0.602593896
1026	0.6025763348
1027	0.602553816
1028	0.6024869707
1029	0.6024611538
1030	0.6024119116
1031	0.6023854005
1032	0.6023574138
1033	0.602276196
1034	0.602196764
1035	0.6021489632
1036	0.6020774951
1037	0.6020423064
1038	0.6020012867
1039	0.601950169
1040	0.6019177627
1041	0.6018790391
1042	0.6018133745
1043	0.6017629534
1044	0.6017258982
1045	0.6016943072
1046	0.6016689804
1047	0.6015735364
1048	0.6015411203
1049	0.6015165346
1050	0.6014648045
1051	0.6013826408
1052	0.6013477694
1053	0.6013182743
1054	0.601269006
1055	0.6012150624
1056	0.6011461889
1057	0.6011004811
1058	0.6010709517
1059	0.6010529152
1060	0.6010200422
1061	0.6010010758
1062	0.6009430581
1063	0.6008931159
1064	0.600809771
1065	0.6007862108
1066	0.6007129059
1067	0.6006289518
1068	0.600537519
1069	0.60051627
1070	0.6005026281
1071	0.6004413035
1072	0.600408813
1073	0.6003598431
1074	0.6003346342
1075	0.6003093345
1076	0.60028978
1077	0.6002144517
1078	0.6001748777
1079	0.6001244422
1080	0.6001115421
1081	0.6000908735
1082	0.6000701463
1083	0.6000273768
1084	0.5999924606
1085	0.5999351028
1086	0.5999049059
1087	0.5998703129
1088	0.599813953
1089	0.5997663312
1090	0.5997107653
1091	0.5996568166
1092	0.5996132526
1093	0.5995508366
1094	0.5994912815
1095	0.5994208683
1096	0.5993876757
1097	0.5993351213
1098	0.599314956
1099	0.5992875718
1100	0.5992135532
1101	0.5991610736
1102	0.5991332949
1103	0.5991037032
1104	0.5990809478
1105	0.5990478962
