iter	Passed	Remaining
0	4	499392
1	9	457288
2	13	435110
3	16	419529
4	21	422163
5	25	429136
6	29	427605
7	33	424309
8	39	439440
9	44	443528
10	48	442552
11	53	447111
12	58	447762
13	62	447978
14	67	447752
15	71	449038
16	76	448334
17	80	446844
18	85	448410
19	89	448958
20	94	448087
21	98	447006
22	103	448908
23	107	447953
24	111	446923
25	116	446509
26	120	447827
27	125	447387
28	129	446579
29	134	446533
30	139	448477
31	143	447730
32	147	446530
33	152	447400
34	156	446439
35	160	445453
36	164	445305
37	169	446256
38	173	445442
39	177	444693
40	182	445376
41	188	448021
42	193	448820
43	197	448522
44	202	449007
45	208	453735
46	214	455485
47	220	459077
48	225	459332
49	229	458337
50	234	459345
51	238	459375
52	243	458850
53	248	459514
54	252	459738
55	257	459531
56	261	458789
57	266	458681
58	270	457998
59	274	457313
60	278	456982
61	283	456685
62	287	456114
63	291	455467
64	296	456327
65	301	456685
66	306	457496
67	311	458212
68	316	458355
69	320	458140
70	325	457704
71	330	458145
72	335	458699
73	339	458500
74	344	458896
75	349	459134
76	354	459405
77	359	459972
78	364	460576
79	368	460531
80	373	460232
81	377	460515
82	382	460432
83	387	460398
84	391	460341
85	396	460959
86	401	460606
87	405	460161
88	410	460372
89	414	460193
90	418	459827
91	422	459353
92	427	459733
93	432	459432
94	436	458953
95	441	458944
96	445	459251
97	450	458977
98	454	458484
99	458	458234
100	462	457856
101	467	457388
102	471	456944
103	475	457020
104	480	456718
105	484	456309
106	488	456157
107	493	456378
108	497	456065
109	501	455776
110	506	455709
111	510	455636
112	514	455136
113	519	454905
114	524	455250
115	528	455079
116	532	454766
117	536	454436
118	541	454630
119	546	454711
120	550	454583
121	555	454574
122	559	454611
123	564	454457
124	568	454224
125	573	454477
126	577	454455
127	582	454373
128	586	454383
129	591	454457
130	595	454292
131	600	454020
132	604	454031
133	609	454114
134	613	453904
135	617	453638
136	622	453740
137	626	453495
138	630	453204
139	635	453055
140	640	453361
141	644	453296
142	648	453000
143	653	452982
144	657	452769
145	661	452461
146	665	452184
147	670	452292
148	674	452052
149	678	451841
150	683	451636
151	687	451641
152	691	451512
153	696	451388
154	700	451277
155	704	451188
156	709	451079
157	713	450905
158	718	451052
159	722	451044
160	727	450838
161	731	450628
162	735	450724
163	740	450521
164	744	450232
165	748	449958
166	753	450191
167	757	450225
168	761	450017
169	765	449753
170	770	449803
171	774	449540
172	778	449346
173	783	449641
174	788	449543
175	792	449305
176	796	449139
177	801	449261
178	805	449112
179	809	448940
180	813	448721
181	818	448828
182	822	448636
183	826	448476
184	831	448544
185	835	448542
186	840	448467
187	844	448341
188	849	448545
189	854	448699
190	858	448552
191	862	448364
192	867	448501
193	871	448372
194	875	448266
195	880	448232
196	884	448165
197	888	448064
198	893	447914
199	897	447930
200	902	447863
201	905	447494
202	909	447310
203	914	447330
204	918	447208
205	922	447091
206	927	446916
207	931	447034
208	935	446903
209	940	446773
210	944	446785
211	949	446996
212	954	446967
213	958	446859
214	963	446952
215	967	446898
216	971	446741
217	975	446630
218	980	446674
219	984	446525
220	988	446473
221	993	446491
222	998	446579
223	1002	446445
224	1006	446488
225	1011	446695
226	1016	446794
227	1021	446849
228	1025	446742
229	1030	446985
230	1035	447129
231	1040	447257
232	1045	447617
233	1050	447711
234	1054	447797
235	1059	447976
236	1065	448302
237	1069	448343
238	1074	448332
239	1079	448602
240	1083	448646
241	1088	448641
242	1093	448793
243	1097	448765
244	1102	448757
245	1106	448772
246	1111	448867
247	1115	448846
248	1120	448827
249	1125	449004
250	1129	449006
251	1134	448976
252	1138	448835
253	1143	448864
254	1147	448681
255	1151	448637
256	1156	448728
257	1161	448851
258	1165	448876
259	1170	448835
260	1175	449259
